modelname,language,task,granularity,seed,f1,accuracy,mae,r2,f1_EN,accuracy_EN,mae_EN,r2_EN,f1_NL,accuracy_NL,mae_NL,r2_NL,f1_IT,accuracy_IT,mae_IT,r2_IT
twitter-roberta-base,EN-IT,regression,5,42,0.7337915466958189,0.7546448087431694,1.0321079980585817,0.1646234599856703,0.7437091532687313,0.7599164926931107,1.0055663497463654,0.2033477365737702,,,,,0.7215921943619737,0.7488532110091743,1.0612672874782103,0.1045349289878084
mdeberta-v3-base,EN-IT,regression,5,42,0.7084335833018884,0.7278688524590164,1.1154336672459468,0.1435513589035949,0.6698123622196337,0.7014613778705637,1.215620414589168,0.1012213655650723,,,,,0.7491418638338967,0.7568807339449541,1.005366107918869,0.1964528799911009
xlm-roberta-base,EN-IT,regression,5,42,0.7172791480121691,0.7333333333333333,1.1040825441642537,0.1329658549588469,0.7100421747783726,0.7296450939457203,1.1766756926128537,0.1019385857152662,,,,,0.7263987875953707,0.7373853211009175,1.0243299881833683,0.1700136218337243
bert-base-multilingual-cased,EN-IT,regression,5,42,0.69262981679092,0.7213114754098361,1.1575966174976997,0.0514842853324936,0.6658793305604309,0.6931106471816284,1.259956585751902,-0.0071702546656766,,,,,0.7225448040368675,0.7522935779816514,1.0451415251730087,0.1265079173409318
twitter-xlm-roberta-base,EN-IT,regression,5,42,0.7444799891536148,0.7584699453551913,1.0097801311993926,0.1659060951095264,0.7258802248004692,0.7432150313152401,1.0923917163941146,0.1142768894206101,,,,,0.7656445970270584,0.7752293577981652,0.9190210645958375,0.2319496783040066
deberta-v3-base,EN-IT,regression,5,69,0.7488626054954363,0.76775956284153,0.9776288361892947,0.2422613227558787,0.735246683222713,0.755741127348643,1.014129926103006,0.2479817844540055,,,,,0.7646216127016897,0.7809633027522935,0.9375278782454606,0.2288030097051712
roberta-base,EN-IT,regression,5,69,0.6965628402000497,0.7306010928961748,1.0921038910531398,0.1090030822696667,0.7070977300033627,0.7286012526096033,1.1135105383082058,0.1309508740391387,,,,,0.6772776434963517,0.7327981651376146,1.0685860480209508,0.0719307894971904
bert-base-cased,EN-IT,regression,5,69,0.7145466040209675,0.7311475409836066,1.1417275837108891,0.0162015731619037,0.7021404204198329,0.7202505219206681,1.169843219158481,0.0078589383548234,,,,,0.7291095032172359,0.7431192660550459,1.1108390815308269,0.0207408482409412
bertweet-base,EN-IT,regression,5,69,0.7297755637027356,0.7513661202185792,1.0721191325179769,0.1318706622798898,0.7532490489969147,0.7693110647181628,0.9956774811943584,0.2176556746742969,,,,,0.7021877090012626,0.731651376146789,1.1560997611326658,0.0058542910789716
twitter-roberta-base,EN-IT,regression,5,69,0.7195129738103873,0.7437158469945355,1.040418428375737,0.1617684311134968,0.7408729827677839,0.7567849686847599,0.9885600545908526,0.2402850901551323,,,,,0.6916097311298441,0.7293577981651376,1.097391276618059,0.0461137921902993
